

snapshot_date,warehouse_id,product_id,stock_on_hand,units_received,units_sold,units_returned
2026-03-15,WH_LIS_01,SKU-1001,120,25,18,1
2026-03-15,WH_LIS_01,SKU-1002,85,10,12,0
2026-03-15,WH_PRT_01,SKU-1001,64,15,9,0
2026-03-15,WH_PRT_01,SKU-1003,140,40,22,2
2026-03-16,WH_LIS_01,SKU-1001,127,20,13,0
2026-03-16,WH_LIS_01,SKU-1002,78,8,15,1
2026-03-16,WH_PRT_01,SKU-1001,70,18,11,0
2026-03-16,WH_PRT_01,SKU-1003,152,30,16,1
2026-03-17,WH_LIS_01,SKU-1001,119,12,20,0
2026-03-17,WH_LIS_01,SKU-1002,73,5,10,0
2026-03-17,WH_PRT_01,SKU-1001,68,10,12,1
2026-03-17,WH_PRT_01,SKU-1003,148,14,17,0
